"No.","Time","Source","Destination","Protocol","Length","Info"
"2","0.009382605","10.10.78.22","192.168.42.169","TCP","66","[TCP ACKed unseen segment] 3128  >  57172 [ACK] Seq=1 Ack=2 Win=147 Len=0 TSval=38200771 TSecr=3282690815"
"4","0.090948088","10.10.78.22","192.168.42.169","TCP","66","[TCP ACKed unseen segment] 3128  >  57184 [ACK] Seq=1 Ack=2 Win=130 Len=0 TSval=38200791 TSecr=3282690843"
"6","0.458931701","10.10.78.22","192.168.42.169","TCP","66","[TCP ACKed unseen segment] 3128  >  57178 [ACK] Seq=1 Ack=2 Win=139 Len=0 TSval=38200883 TSecr=3282690929"
"32","2.221078354","10.7.174.111","192.168.42.169","TCP","1450","[TCP Out-Of-Order] 80  >  43870 [ACK] Seq=1 Ack=427 Win=15616 Len=1384 TSval=2549398862 TSecr=2704090861"
"33","2.221098396","192.168.42.169","10.7.174.111","TCP","78","[TCP Dup ACK 31#1] 43870  >  80 [ACK] Seq=427 Ack=10133 Win=52352 Len=0 TSval=2704091201 TSecr=2549398792 SLE=1 SRE=1385"
"345","2.690493129","10.7.174.111","192.168.42.169","TCP","1450","[TCP Previous segment not captured] [TCP segment of a reassembled PDU]"
"347","2.699807224","10.7.174.111","192.168.42.169","TCP","1450","[TCP Previous segment not captured] [TCP segment of a reassembled PDU]"
"446","2.906686012","10.7.174.111","192.168.42.169","TCP","1450","[TCP Previous segment not captured] [TCP segment of a reassembled PDU]"
"447","2.906712970","192.168.42.169","10.7.174.111","TCP","78","[TCP Dup ACK 445#1] 43874  >  80 [ACK] Seq=6447 Ack=93633 Win=184832 Len=0 TSval=2704091372 TSecr=2549399129 SLE=95017 SRE=96401"
"449","2.906881790","192.168.42.169","10.7.174.111","TCP","78","[TCP Dup ACK 445#2] 43874  >  80 [ACK] Seq=6447 Ack=93633 Win=184832 Len=0 TSval=2704091372 TSecr=2549399129 SLE=95017 SRE=97785"
"451","2.907243272","192.168.42.169","10.7.174.111","TCP","78","[TCP Dup ACK 445#3] 43874  >  80 [ACK] Seq=6447 Ack=93633 Win=184832 Len=0 TSval=2704091372 TSecr=2549399129 SLE=95017 SRE=99169"
"453","2.907385028","192.168.42.169","10.7.174.111","TCP","78","[TCP Dup ACK 445#4] 43874  >  80 [ACK] Seq=6447 Ack=93633 Win=184832 Len=0 TSval=2704091372 TSecr=2549399129 SLE=95017 SRE=100384"
"454","2.910101117","10.7.174.111","192.168.42.169","TCP","1450","[TCP Fast Retransmission] [TCP segment of a reassembled PDU]"
"457","2.911978835","192.168.42.169","10.7.174.111","TCP","480","[TCP Retransmission] 43876  >  80 [PSH, ACK] Seq=2154 Ack=48374 Win=135168 Len=414 TSval=2704091374 TSecr=2549399071"
"475","2.938702371","10.7.174.111","192.168.42.169","HTTP","1230","[TCP Spurious Retransmission] HTTP/1.1 200 OK  (application/javascript)"
"476","2.938739783","192.168.42.169","10.7.174.111","TCP","78","[TCP Dup ACK 354#1] 43880  >  80 [ACK] Seq=2627 Ack=28401 Win=92288 Len=0 TSval=2704091380 TSecr=2549399139 SLE=27237 SRE=28401"
"477","2.938982138","10.7.174.111","192.168.42.169","TCP","1450","[TCP Spurious Retransmission] [TCP segment of a reassembled PDU]"
"478","2.938994089","192.168.42.169","10.7.174.111","TCP","94","[TCP Dup ACK 346#1] 43878  >  80 [ACK] Seq=2178 Ack=33803 Win=109952 Len=0 TSval=2704091380 TSecr=2549399073 SLE=24115 SRE=25499 SLE=39339 SRE=40723 SLE=36571 SRE=37955"
"479","2.946143678","10.7.174.111","192.168.42.169","TCP","375","[TCP Previous segment not captured] [TCP segment of a reassembled PDU]"
"481","2.948349324","10.7.174.111","192.168.42.169","TCP","1450","[TCP Out-Of-Order] [TCP segment of a reassembled PDU]"
"483","2.948706171","10.7.174.111","192.168.42.169","TCP","1450","[TCP Out-Of-Order] [TCP segment of a reassembled PDU]"
"485","2.948887583","10.7.174.111","192.168.42.169","TCP","1450","[TCP Out-Of-Order] [TCP segment of a reassembled PDU]"
"487","2.950794019","10.7.174.111","192.168.42.169","TCP","1450","[TCP Out-Of-Order] 80  >  43878 [ACK] Seq=40723 Ack=2178 Win=19840 Len=1384 TSval=2549399142 TSecr=2704091383"
"489","2.955952221","192.168.42.169","10.7.174.111","TCP","475","[TCP Retransmission] 43880  >  80 [PSH, ACK] Seq=2218 Ack=28401 Win=92288 Len=409 TSval=2704091385 TSecr=2549399139"
"499","3.000800689","10.7.174.111","192.168.42.169","TCP","1450","[TCP Spurious Retransmission] 80  >  43872 [ACK] Seq=18198 Ack=2984 Win=22016 Len=1384 TSval=2549399154 TSecr=2704091306"
"500","3.000829353","192.168.42.169","10.7.174.111","TCP","78","[TCP Dup ACK 389#1] 43872  >  80 [ACK] Seq=2984 Ack=33422 Win=106368 Len=0 TSval=2704091396 TSecr=2549399090 SLE=18198 SRE=19582"
"503","4.159495226","10.7.174.111","192.168.42.169","TCP","1450","[TCP Spurious Retransmission] [TCP segment of a reassembled PDU]"
"504","4.159528026","192.168.42.169","10.7.174.111","TCP","78","[TCP Dup ACK 372#1] 43870  >  80 [ACK] Seq=3485 Ack=42493 Win=124288 Len=0 TSval=2704091685 TSecr=2549399076 SLE=32805 SRE=34189"
"1357","5.118571384","10.7.10.1","192.168.42.169","TCP","66","[TCP ACKed unseen segment] 80  >  35686 [ACK] Seq=1 Ack=2 Win=227 Len=0 TSval=4254597179 TSecr=2920219861"
"1412","9.186530404","10.10.78.22","192.168.42.169","TCP","66","[TCP ACKed unseen segment] 3128  >  57188 [ACK] Seq=1 Ack=2 Win=130 Len=0 TSval=38203066 TSecr=3282693105"
"1419","9.318107881","192.168.42.169","10.10.78.22","OCSP","529","[TCP Previous segment not captured] Request"
