"No.","Time","Source","Destination","Protocol","Length","Info"
"7","0.784872948","192.168.42.169","192.168.42.129","DNS","74","Standard query 0x1e20 A www.iitd.ac.in"
"8","0.784903931","192.168.42.169","192.168.42.129","DNS","74","Standard query 0xa1b6 AAAA www.iitd.ac.in"
"9","0.821402128","192.168.42.129","192.168.42.169","DNS","199","Standard query response 0x1e20 A www.iitd.ac.in A 10.7.174.111 NS intdns.iitd.ac.in NS dns1.cc.iitd.ac.in NS dns.cc.iitd.ac.in A 10.10.1.2 A 10.10.2.2 A 10.10.7.70"
"10","0.823510236","192.168.42.129","192.168.42.169","DNS","127","Standard query response 0xa1b6 AAAA www.iitd.ac.in SOA intdns.iitd.ac.in"
"1366","8.307099954","192.168.42.169","192.168.42.129","DNS","85","Standard query 0xdf77 A vortex.data.microsoft.com"
"1370","8.326824690","192.168.42.129","192.168.42.169","DNS","547","Standard query response 0xdf77 A vortex.data.microsoft.com CNAME asimov.vortex.data.microsoft.com.akadns.net CNAME geo.vortex.data.microsoft.com.akadns.net CNAME db5.vortex.data.microsoft.com.akadns.net A 40.77.226.250 NS d.gtld-servers.net NS c.gtld-servers.net NS h.gtld-servers.net NS a.gtld-servers.net NS i.gtld-servers.net NS l.gtld-servers.net NS f.gtld-servers.net NS j.gtld-servers.net NS g.gtld-servers.net NS m.gtld-servers.net NS k.gtld-servers.net NS b.gtld-servers.net NS e.gtld-servers.net A 192.5.6.30 AAAA 2001:503:a83e::2:30 A 192.33.14.30 AAAA 2001:503:231d::2:30 A 192.26.92.30 AAAA 2001:503:83eb::30"
"1373","8.327029789","192.168.42.169","192.168.42.129","DNS","85","Standard query 0x8f66 AAAA vortex.data.microsoft.com"
"1375","8.407348504","192.168.42.129","192.168.42.169","DNS","241","Standard query response 0x8f66 AAAA vortex.data.microsoft.com CNAME asimov.vortex.data.microsoft.com.akadns.net CNAME geo.vortex.data.microsoft.com.akadns.net CNAME db5.vortex.data.microsoft.com.akadns.net SOA internal.akadns.net"
"1473","14.439095437","192.168.42.169","192.168.42.129","DNS","85","Standard query 0x21a2 A vortex.data.microsoft.com"
"1474","14.439145543","192.168.42.169","192.168.42.129","DNS","85","Standard query 0xab97 AAAA vortex.data.microsoft.com"
"1476","14.546059356","192.168.42.129","192.168.42.169","DNS","547","Standard query response 0x21a2 A vortex.data.microsoft.com CNAME asimov.vortex.data.microsoft.com.akadns.net CNAME geo.vortex.data.microsoft.com.akadns.net CNAME db5.vortex.data.microsoft.com.akadns.net A 40.77.226.250 NS f.gtld-servers.net NS k.gtld-servers.net NS b.gtld-servers.net NS i.gtld-servers.net NS a.gtld-servers.net NS h.gtld-servers.net NS l.gtld-servers.net NS j.gtld-servers.net NS e.gtld-servers.net NS m.gtld-servers.net NS g.gtld-servers.net NS d.gtld-servers.net NS c.gtld-servers.net A 192.5.6.30 AAAA 2001:503:a83e::2:30 A 192.33.14.30 AAAA 2001:503:231d::2:30 A 192.26.92.30 AAAA 2001:503:83eb::30"
"1477","14.548992243","192.168.42.129","192.168.42.169","DNS","241","Standard query response 0xab97 AAAA vortex.data.microsoft.com CNAME asimov.vortex.data.microsoft.com.akadns.net CNAME geo.vortex.data.microsoft.com.akadns.net CNAME db5.vortex.data.microsoft.com.akadns.net SOA internal.akadns.net"
