"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.42.169","10.10.78.22","TCP","66","57172  >  3128 [ACK] Seq=1 Ack=1 Win=267 Len=0 TSval=3282693322 TSecr=38198261"
"2","0.009382605","10.10.78.22","192.168.42.169","TCP","66","[TCP ACKed unseen segment] 3128  >  57172 [ACK] Seq=1 Ack=2 Win=147 Len=0 TSval=38200771 TSecr=3282690815"
"3","0.087978380","192.168.42.169","10.10.78.22","TCP","66","57184  >  3128 [ACK] Seq=1 Ack=1 Win=258 Len=0 TSval=3282693344 TSecr=38198290"
"4","0.090948088","10.10.78.22","192.168.42.169","TCP","66","[TCP ACKed unseen segment] 3128  >  57184 [ACK] Seq=1 Ack=2 Win=130 Len=0 TSval=38200791 TSecr=3282690843"
"5","0.447969505","192.168.42.169","10.10.78.22","TCP","66","57178  >  3128 [ACK] Seq=1 Ack=1 Win=317 Len=0 TSval=3282693434 TSecr=38198370"
"6","0.458931701","10.10.78.22","192.168.42.169","TCP","66","[TCP ACKed unseen segment] 3128  >  57178 [ACK] Seq=1 Ack=2 Win=139 Len=0 TSval=38200883 TSecr=3282690929"
"11","0.824004346","192.168.42.169","10.7.174.111","TCP","74","43870  >  80 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2704090852 TSecr=0 WS=128"
"12","0.862580703","10.7.174.111","192.168.42.169","TCP","74","80  >  43870 [SYN, ACK] Seq=0 Ack=1 Win=14480 Len=0 MSS=1396 SACK_PERM=1 TSval=2549398612 TSecr=2704090852 WS=128"
"13","0.862641689","192.168.42.169","10.7.174.111","TCP","66","43870  >  80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=2704090861 TSecr=2549398612"
"14","0.862925713","192.168.42.169","10.7.174.111","HTTP","492","GET / HTTP/1.1 "
"15","0.929131103","10.7.174.111","192.168.42.169","TCP","66","80  >  43870 [ACK] Seq=1 Ack=427 Win=15616 Len=0 TSval=2549398632 TSecr=2704090861"
"16","2.217209173","10.7.174.111","192.168.42.169","TCP","1450","[TCP segment of a reassembled PDU]"
"17","2.217257241","192.168.42.169","10.7.174.111","TCP","66","43870  >  80 [ACK] Seq=427 Ack=1385 Win=32128 Len=0 TSval=2704091200 TSecr=2549398792"
"18","2.219255701","10.7.174.111","192.168.42.169","TCP","1450","[TCP segment of a reassembled PDU]"
"19","2.219290746","192.168.42.169","10.7.174.111","TCP","66","43870  >  80 [ACK] Seq=427 Ack=2769 Win=35072 Len=0 TSval=2704091200 TSecr=2549398792"
"20","2.219306818","10.7.174.111","192.168.42.169","TCP","1450","[TCP segment of a reassembled PDU]"
"21","2.219331239","192.168.42.169","10.7.174.111","TCP","66","43870  >  80 [ACK] Seq=427 Ack=4153 Win=37888 Len=0 TSval=2704091200 TSecr=2549398792"
"22","2.219337328","10.7.174.111","192.168.42.169","TCP","1450","[TCP segment of a reassembled PDU]"
"23","2.219344737","192.168.42.169","10.7.174.111","TCP","66","43870  >  80 [ACK] Seq=427 Ack=5537 Win=40832 Len=0 TSval=2704091200 TSecr=2549398792"
"24","2.219369383","10.7.174.111","192.168.42.169","TCP","1450","[TCP segment of a reassembled PDU]"
"25","2.219381626","192.168.42.169","10.7.174.111","TCP","66","43870  >  80 [ACK] Seq=427 Ack=6921 Win=43776 Len=0 TSval=2704091200 TSecr=2549398792"
"26","2.219450131","10.7.174.111","192.168.42.169","TCP","1450","[TCP segment of a reassembled PDU]"
