K,Time_90,Chunk Copies,% Devices Reached
1,inf,1,0.116
2,inf,207,12.072
3,inf,275,16.019
4,inf,341,19.849
5,inf,398,23.157
6,inf,458,26.640
7,inf,517,30.064
8,inf,570,33.140
9,inf,619,35.984
10,inf,665,38.654
11,inf,711,41.323
12,inf,756,43.935
13,inf,801,46.547
14,inf,842,48.926
15,inf,884,51.364
16,inf,926,53.802
17,inf,958,55.659
18,inf,990,57.516
19,inf,1022,59.373
20,inf,1053,61.172
21,inf,1086,63.088
22,inf,1121,65.119
23,inf,1154,67.034
24,inf,1182,68.659
25,inf,1205,69.994
26,inf,1227,71.271
27,inf,1251,72.664
28,inf,1272,73.883
29,inf,1290,74.927
30,inf,1309,76.030
31,inf,1328,77.133
32,inf,1344,78.062
33,inf,1360,78.990
34,inf,1373,79.745
35,inf,1391,80.789
36,inf,1409,81.834
37,inf,1423,82.647
38,inf,1440,83.633
39,inf,1456,84.562
40,inf,1471,85.432
41,inf,1482,86.071
42,inf,1493,86.709
43,inf,1502,87.232
44,inf,1513,87.870
45,inf,1520,88.276
46,inf,1529,88.799
47,inf,1538,89.321
48,inf,1548,89.901
49,306768,1557,90.424
50,298098,1565,90.888
51,277353,1572,91.294
52,233749,1582,91.875
53,223960,1593,92.513
54,218424,1603,93.093
55,216496,1614,93.732
56,216337,1621,94.138
57,216091,1628,94.544
58,212695,1634,94.893
59,210777,1641,95.299
60,209114,1647,95.647
61,209114,1652,95.937
62,208746,1656,96.169
63,207733,1660,96.402
64,205901,1664,96.634
65,205901,1666,96.750
66,205901,1669,96.924
67,205901,1670,96.982
68,205901,1672,97.098
69,205901,1674,97.214
70,205901,1675,97.272
71,205901,1676,97.330
72,205901,1677,97.388
73,205901,1678,97.446
74,205901,1679,97.504
75,205901,1680,97.562
76,205901,1681,97.620
77,205901,1682,97.678
78,205901,1683,97.737
79,205901,1684,97.795
80,205775,1686,97.911
81,205775,1687,97.969
82,205775,1688,98.027
83,205775,1689,98.085
84,205775,1690,98.143
85,205775,1691,98.201
86,205775,1692,98.259
87,205775,1693,98.317
88,205775,1693,98.317
89,205775,1693,98.317
90,205775,1693,98.317
91,205775,1693,98.317
92,205775,1693,98.317
93,205775,1693,98.317
94,205775,1693,98.317
95,205775,1693,98.317
96,205775,1693,98.317
97,205775,1693,98.317
98,205775,1693,98.317
99,205775,1693,98.317
100,205775,1693,98.317
