K,# Above 90% Reach,Time_90_Mean,Time_90_std,Chunk Copies Mean,Chunk Copies Std,% Devices Reached Mean,% Devices Reached Std
40,0,,,928.02,449.232,53.919,26.073
41,0,,,934.89,452.959,54.317,26.289
42,0,,,941.11,456.655,54.678,26.504
43,0,,,947.06,460.082,55.024,26.702
44,0,,,953.31,462.716,55.387,26.855
45,0,,,959.13,465.885,55.724,27.039
46,0,,,964.41,468.837,56.031,27.211
47,4,310630.5,2113.381,971.8,468.526,56.46,27.192
48,6,302962.667,4355.868,977.53,472.069,56.792,27.398
49,9,291088.222,15994.081,982.42,474.794,57.076,27.556
50,12,276249.833,31980.092,987.18,477.465,57.352,27.711
51,14,265476.357,34400.063,991.94,480.062,57.629,27.862
52,15,251523.733,33766.746,996.44,482.74,57.89,28.017
53,15,233169.933,23978.759,1000.91,485.565,58.149,28.181
54,17,236194.294,32159.195,1007.25,485.42,58.517,28.173
55,17,230831.882,28056.708,1011.64,488.377,58.772,28.345
56,17,226873.765,26217.452,1017.51,487.786,59.113,28.31
57,19,232066.632,32327.113,1021.07,489.883,59.319,28.432
58,20,230924.5,32666.31,1024.54,491.719,59.521,28.539
59,20,228195.7,30924.227,1027.69,493.775,59.703,28.658
60,20,225769.25,28233.111,1030.61,495.64,59.873,28.766
61,20,220939.3,19885.043,1033.57,497.616,60.045,28.881
62,20,215793.6,10920.918,1036.12,499.239,60.193,28.975
63,20,214028.7,8137.001,1038.37,500.653,60.323,29.057
64,20,213439.15,8273.856,1040.73,502.185,60.46,29.146
65,23,226086,34463.813,1042.76,503.152,60.578,29.202
66,23,225445.391,33300.985,1044.3,503.952,60.667,29.249
67,23,225296.174,33323.121,1045.7,504.465,60.749,29.278
68,23,225154.957,33331.09,1046.84,504.682,60.815,29.291
69,23,224869.739,32994.442,1048,504.642,60.882,29.289
70,23,224827.217,32995.034,1048.75,504.786,60.926,29.297
