K,Source Device ID,Time_90,Chunk Copies,% Devices Reached
40,3476,inf,942,54.730
40,11071,inf,210,12.246
40,155,inf,1257,73.012
40,1598,inf,169,9.867
40,8344,inf,622,36.158
40,2046,inf,1468,85.258
40,7393,inf,375,21.822
40,8350,inf,622,36.158
40,1325,inf,1360,78.990
40,9334,inf,146,8.532
40,1977,inf,1423,82.647
40,1059,inf,1447,84.039
40,706,inf,947,55.020
40,8757,inf,667,38.770
40,20,inf,1447,84.039
40,2812,inf,1305,75.798
40,2057,inf,1159,67.324
40,11056,inf,171,9.983
40,11560,inf,545,31.689
40,157,inf,1258,73.070
40,762,inf,898,52.176
40,1117,inf,749,43.529
40,2620,inf,1341,77.887
40,3279,inf,1171,68.021
40,8736,inf,668,38.828
40,5687,inf,1362,79.106
40,1452,inf,279,16.251
40,2631,inf,1294,75.160
40,6812,inf,1099,63.842
40,4705,inf,1147,66.628
40,6561,inf,1429,82.995
40,1040,inf,933,54.208
40,7241,inf,939,54.556
40,858,inf,1404,81.544
40,10435,inf,685,39.814
40,8384,inf,623,36.216
40,1071,inf,798,46.373
40,1394,inf,1199,69.646
40,792,inf,632,36.738
40,7779,inf,1467,85.200
40,10690,inf,1370,79.571
40,1356,inf,1232,71.561
40,8481,inf,143,8.358
40,11867,inf,10,0.638
40,4571,inf,142,8.299
40,9822,inf,630,36.622
40,8348,inf,622,36.158
40,4808,inf,956,55.543
40,8315,inf,629,36.564
40,541,inf,1477,85.781
40,2452,inf,864,50.203
40,265,inf,1209,70.226
40,2613,inf,1341,77.887
40,11870,inf,10,0.638
40,5349,inf,808,46.953
40,1189,inf,899,52.234
40,4702,inf,1020,59.257
40,2616,inf,1342,77.945
40,7261,inf,940,54.614
40,2683,inf,1324,76.901
40,4720,inf,1010,58.677
40,1208,inf,898,52.176
40,9547,inf,386,22.461
40,2205,inf,1471,85.432
40,7588,inf,1477,85.781
40,1400,inf,405,23.564
40,6676,inf,1401,81.370
40,1244,inf,638,37.086
40,6610,inf,1415,82.182
40,206,inf,1228,71.329
40,135,inf,1259,73.128
40,3289,inf,1127,65.467
40,2553,inf,849,49.333
40,4044,inf,1433,83.227
40,41,inf,1484,86.187
