T_Prob_Super,T_Prob_Ordinary,Gini_Load_Super,Gini_Load_Ordinary,Gini_Load_Weak,Mean_Load_Super,Mean_Load_Ordinary,Mean_Load_Weak,Time_90,Chunk Copies,% Devices Reached
1,1,,0.998,,0.000,0.002,0.000,inf,1,0.116
1,2,,0.947,0.999,0.000,1.740,0.001,inf,1054,61.230
1,5,,0.946,,0.000,1.936,0.000,inf,1171,68.021
1,10,,0.945,,0.000,2.068,0.000,inf,1251,72.664
1,20,,0.943,,0.000,2.159,0.000,inf,1306,75.856
1,40,,0.944,,0.000,2.293,0.000,inf,1387,80.557
1,50,,0.945,,0.000,2.331,0.000,inf,1410,81.892
1,60,,0.947,,0.000,2.332,0.000,inf,1411,81.950
1,80,,0.946,,0.000,2.365,0.000,inf,1431,83.111
1,90,,0.946,,0.000,2.364,0.000,inf,1430,83.053
1,95,,0.947,,0.000,2.372,0.000,inf,1435,83.343
1,98,,0.947,,0.000,2.367,0.000,inf,1432,83.169
1,99,,0.948,,0.000,2.362,0.000,inf,1429,82.995
2,1,0.361,0.998,0.999,38.889,0.005,0.001,inf,354,20.604
2,2,0.311,0.948,0.999,44.333,1.542,0.001,inf,1333,77.423
2,5,0.212,0.945,,48.444,1.674,0.000,inf,1449,84.156
2,10,0.213,0.943,,49.778,1.825,0.000,309133,1552,90.133
2,20,0.217,0.944,,51.556,1.916,0.000,223767,1623,94.254
2,40,0.189,0.943,0.999,52.333,1.988,0.001,211841,1675,97.272
2,50,0.158,0.945,,54.667,1.964,0.000,209482,1680,97.562
2,60,0.175,0.944,,53.667,1.993,0.000,206286,1689,98.085
2,80,0.192,0.946,,53.000,2.002,0.000,206413,1688,98.027
2,90,0.196,0.946,,52.333,2.020,0.000,205901,1693,98.317
2,95,0.187,0.946,,52.556,2.017,0.000,205775,1693,98.317
2,98,0.198,0.946,,52.111,2.023,0.000,205775,1693,98.317
2,99,0.194,0.946,,53.333,2.005,0.000,205775,1693,98.317
5,1,0.283,0.998,,52.889,0.007,0.000,inf,480,27.916
5,2,0.235,0.946,0.999,45.111,1.547,0.001,inf,1343,78.003
5,5,0.219,0.944,,48.556,1.641,0.000,inf,1430,83.053
5,10,0.212,0.943,,50.778,1.800,0.000,inf,1546,89.785
5,20,0.198,0.944,,52.667,1.868,0.000,226438,1604,93.151
5,40,0.198,0.945,,53.222,1.974,0.000,212695,1673,97.156
5,50,0.198,0.945,,53.222,1.997,0.000,207733,1687,97.969
5,60,0.208,0.944,,53.444,2.000,0.000,206413,1691,98.201
5,80,0.188,0.945,,54.000,1.993,0.000,206150,1692,98.259
5,90,0.199,0.945,,52.889,2.012,0.000,205775,1693,98.317
5,95,0.193,0.946,,53.111,2.008,0.000,205775,1693,98.317
5,98,0.196,0.946,,52.778,2.013,0.000,205775,1693,98.317
5,99,0.194,0.946,,52.556,2.017,0.000,205775,1693,98.317
