T_Prob_Super,T_Prob_Ordinary,Mean_Gini_Load_Super,Mean_Gini_Load_Ordinary,Mean_Gini_Load_Weak,Mean_Mean_Load_Super,Mean_Mean_Load_Ordinary,Mean_Mean_Load_Weak,# Above 90% Reach,Time_90_Mean,Time_90_Std,Chunk Copies,% Devices Reached
1,1,0.889,0.998,,0.088,0.002,0.000,0,,,2.29,0.191
1,2,0.889,0.962,0.999,0.090,0.211,0.000,0,,,128.33,7.506
1,5,0.889,0.958,0.999,0.088,0.342,0.000,0,,,207.69,12.112
1,10,0.889,0.959,0.998,0.100,0.565,0.001,0,,,343.35,19.985
1,20,0.889,0.961,0.998,0.104,0.881,0.001,0,,,535,31.109
1,40,0.889,0.961,0.998,0.096,1.106,0.001,0,,,671.32,39.020
1,50,0.889,0.961,0.998,0.108,1.191,0.001,0,,,722.95,42.017
1,60,0.889,0.960,0.998,0.098,1.301,0.001,0,,,789.22,45.863
1,80,0.889,0.961,0.998,0.097,1.304,0.001,0,,,791.35,45.987
1,90,0.889,0.962,0.998,0.096,1.338,0.001,0,,,812.02,47.186
1,95,0.889,0.961,0.998,0.091,1.370,0.001,0,,,830.93,48.284
1,98,0.889,0.961,0.998,0.091,1.365,0.001,0,,,828.15,48.122
1,99,0.889,0.961,0.998,0.092,1.383,0.001,0,,,838.91,48.747
2,1,0.647,0.998,0.999,2.022,0.003,0.000,0,,,19.84,1.210
2,2,0.378,0.959,0.998,7.536,0.259,0.000,0,,,225.07,13.121
2,5,0.372,0.960,0.999,10.548,0.403,0.000,0,,,339.5,19.762
2,10,0.355,0.958,0.998,15.814,0.652,0.001,0,,,537.42,31.249
2,20,0.368,0.958,0.998,18.294,0.767,0.001,17,233828.706,23537.774,629.34,36.584
2,40,0.375,0.960,0.998,24.566,1.095,0.001,22,220119.136,17494.438,885.04,51.424
2,50,0.387,0.961,0.998,25.947,1.142,0.001,22,212715.318,5382.589,925.78,53.789
2,60,0.388,0.961,0.998,26.673,1.192,0.001,22,210595.955,5147.050,962.84,55.940
2,80,0.392,0.961,0.998,26.422,1.198,0.001,23,209373.261,5545.891,963.74,55.992
2,90,0.400,0.962,0.998,26.802,1.229,0.001,23,210286.174,6374.831,985.79,57.272
2,95,0.394,0.962,0.998,26.653,1.224,0.001,23,208898.565,5305.242,981.63,57.030
2,98,0.395,0.962,0.999,26.767,1.227,0.001,23,208809.739,5461.677,984.22,57.180
2,99,0.399,0.962,0.999,26.541,1.228,0.001,23,208965.957,5419.872,982.78,57.097
5,1,0.515,0.998,0.999,5.370,0.003,0.000,0,,,49.99,2.959
5,2,0.347,0.959,0.998,8.659,0.285,0.000,0,,,250.73,14.610
5,5,0.376,0.958,0.999,11.903,0.451,0.000,0,,,380.71,22.154
5,10,0.354,0.958,0.998,16.317,0.632,0.001,3,308442.667,3832.626,530.44,30.844
5,20,0.386,0.962,0.998,21.266,0.858,0.001,16,231523.438,20571.136,711.56,41.356
5,40,0.385,0.961,0.998,23.211,0.974,0.001,20,216121.400,4859.358,799.62,46.467
5,50,0.382,0.961,0.998,26.288,1.112,0.001,21,212171.762,4903.402,910.68,52.912
5,60,0.391,0.961,0.998,27.629,1.166,0.001,23,211434.435,5958.922,955.23,55.498
5,80,0.401,0.962,0.998,27.526,1.189,0.001,22,208950.909,4879.209,968.08,56.244
5,90,0.403,0.962,0.999,28.272,1.230,0.001,23,208874.130,5553.986,999.61,58.074
5,95,0.395,0.963,0.998,28.952,1.252,0.001,23,208791.652,5500.638,1019.04,59.201
5,98,0.392,0.962,0.998,28.196,1.232,0.001,23,208729.304,5492.169,1000.45,58.122
5,99,0.393,0.962,0.999,27.977,1.218,0.001,23,208763.435,5565.361,990,57.516
10,1,0.481,0.998,0.999,7.874,0.003,0.000,0,,,72.66,4.275
10,2,0.371,0.961,0.998,11.586,0.366,0.001,0,,,326.4,19.002
10,5,0.393,0.956,0.998,16.452,0.594,0.001,0,,,508.15,29.550
10,10,0.391,0.961,0.998,17.042,0.644,0.001,1,309133.000,0.000,543.73,31.615
10,20,0.376,0.961,0.998,23.418,0.924,0.001,18,228943.944,16800.507,771.06,44.809
10,40,0.366,0.961,0.998,27.562,1.115,0.001,22,215300.591,3961.191,924.45,53.712
10,50,0.398,0.962,0.998,28.718,1.179,0.002,23,212270.391,5431.203,973.23,56.543
10,60,0.390,0.962,0.998,29.823,1.233,0.002,22,210148.682,4754.629,1016.25,59.039
10,80,0.398,0.962,0.998,29.719,1.246,0.001,23,209544.348,5346.851,1022.9,59.425
10,90,0.393,0.963,0.998,30.044,1.274,0.001,23,208852.870,5514.175,1042.35,60.554
10,95,0.391,0.963,0.998,31.879,1.345,0.001,24,212861.625,20291.155,1102.41,64.040
10,98,0.401,0.963,0.998,30.662,1.311,0.001,24,213034.458,21596.126,1070.62,62.195
10,99,0.399,0.963,0.998,29.830,1.269,0.001,23,208630.000,5483.721,1037.34,60.263
20,1,0.448,0.998,0.999,13.107,0.003,0.000,0,,,120.03,7.024
20,2,0.394,0.961,0.998,14.476,0.442,0.001,0,,,398.57,23.190
20,5,0.388,0.961,0.998,15.480,0.546,0.001,0,,,470.4,27.359
20,10,0.372,0.960,0.998,18.221,0.684,0.001,2,312658.500,652.500,578.78,33.649
20,20,0.396,0.962,0.998,24.010,0.944,0.002,15,230567.600,21843.327,788.83,45.840
20,40,0.391,0.962,0.998,27.948,1.125,0.002,21,219435.190,15692.149,933.96,54.263
20,50,0.394,0.962,0.998,29.852,1.211,0.002,23,212556.217,5323.180,1003.35,58.291
20,60,0.390,0.962,0.998,31.420,1.292,0.002,22,211288.591,5603.945,1066.22,61.940
20,80,0.397,0.962,0.998,32.318,1.346,0.002,23,209168.870,5399.507,1106.86,64.298
