S,T_Prob_Super,T_Prob_Ordinary,Gini_Load_Super,Gini_Load_Ordinary,Gini_Load_Weak,Mean_Load_Super,Mean_Load_Ordinary,Mean_Load_Weak,Time_90,Chunk Copies,% Devices Reached
1,1,99,,0.954,,0.000,1.990,0.000,inf,1184,68.775
1,2,98,0.236,0.955,,45.000,1.408,0.000,205775,1693,98.317
1,5,95,0.237,0.954,,45.368,1.397,0.000,205775,1693,98.317
1,10,90,0.231,0.953,,45.053,1.407,0.000,205775,1693,98.317
1,20,80,0.234,0.955,,45.632,1.387,0.000,205901,1692,98.259
1,40,60,0.223,0.953,,46.000,1.371,0.000,207588,1690,98.143
2,1,99,,0.957,,0.000,1.035,0.000,inf,599,34.823
2,2,98,0.304,0.956,,37.629,0.649,0.000,205775,1693,98.317
2,5,95,0.309,0.957,,38.486,0.598,0.000,205901,1693,98.317
2,10,90,0.300,0.957,,38.800,0.579,0.000,205775,1693,98.317
2,20,80,0.299,0.956,,38.714,0.584,0.000,205775,1693,98.317
2,40,60,0.279,0.957,,39.371,0.539,0.000,206157,1690,98.143
5,1,99,0.989,0.995,,1.044,0.008,0.000,inf,98,5.746
5,2,98,0.632,0.963,,18.167,0.061,0.000,215867,1667,96.808
5,5,95,0.622,0.960,,18.200,0.071,0.000,211788,1675,97.272
5,10,90,0.612,0.967,,18.378,0.065,0.000,206286,1688,98.027
5,20,80,0.608,0.981,,18.544,0.032,0.000,206413,1686,97.911
5,40,60,0.603,0.983,,18.422,0.053,0.000,207446,1686,97.911
10,1,99,0.994,0.998,,0.184,0.002,0.000,inf,33,1.973
10,2,98,0.789,0.991,0.999,9.557,0.009,0.001,215752,1668,96.866
10,5,95,0.788,0.994,0.999,9.603,0.011,0.001,210148,1677,97.388
10,10,90,0.788,0.985,,9.638,0.023,0.000,206413,1687,97.969
10,20,80,0.782,0.990,,9.695,0.014,0.000,206150,1693,98.317
10,40,60,0.785,0.986,,9.678,0.014,0.000,206157,1690,98.143
20,1,99,0.997,,,0.014,0.000,0.000,inf,5,0.348
20,2,98,0.899,0.996,,4.411,0.004,0.000,236622,1580,91.759
20,5,95,0.897,0.996,,4.589,0.004,0.000,218040,1644,95.473
20,10,90,0.894,,,4.654,0.000,0.000,215805,1666,96.750
20,20,80,0.894,,,4.698,0.000,0.000,209114,1682,97.678
20,40,60,0.895,0.996,,4.721,0.004,0.000,206157,1691,98.201
30,1,99,0.998,,,0.002,,0.000,inf,1,0.116
30,2,98,0.943,,0.999,2.182,,0.001,inf,1341,77.887
30,5,95,0.939,,,2.379,,0.000,inf,1461,84.852
30,10,90,0.938,,,2.498,,0.000,inf,1534,89.089
30,20,80,0.939,,,2.640,,0.000,223767,1621,94.138
30,40,60,0.939,,,2.723,,0.000,212695,1672,97.098
30,50,50,0.938,,,2.735,,0.000,210794,1679,97.504
30,60,40,0.938,,,2.752,,0.000,206157,1690,98.143
30,80,20,0.940,,,2.757,,0.000,205901,1693,98.317
30,90,10,0.940,,,2.756,,0.000,206150,1692,98.259
30,95,5,0.941,,,2.757,,0.000,205775,1693,98.317
30,98,2,0.940,,,2.757,,0.000,205775,1693,98.317
30,99,1,0.940,,,2.757,,0.000,205775,1693,98.317
