L,T_Prob_Super,T_Prob_Ordinary,Gini_Load_Super,Gini_Load_Ordinary,Gini_Load_Weak,Mean_Load_Super,Mean_Load_Ordinary,Mean_Load_Weak,Time_90,Chunk Copies,% Devices Reached
1,1,99,,0.981,,0.000,0.837,,inf,1435,83.343
1,2,98,0.232,0.981,,51.333,0.715,,207446,1688,98.027
1,5,95,0.192,0.981,,53.333,0.708,,205901,1693,98.317
1,10,90,0.200,0.981,,53.333,0.708,,206157,1693,98.317
1,20,80,0.189,0.980,,56.000,0.691,,206413,1689,98.085
1,40,60,0.198,0.980,,53.667,0.693,,215752,1670,96.982
1,50,50,0.192,0.980,,53.444,0.683,,218569,1651,95.879
1,60,40,0.197,0.980,,52.778,0.637,,297963,1566,90.946
1,80,20,0.159,0.979,,41.333,0.547,,inf,1310,76.088
1,90,10,0.155,0.978,,29.667,0.393,,inf,941,54.672
1,95,5,0.228,0.976,,21.667,0.279,,inf,673,39.118
5,1,99,,0.981,,0.000,0.837,,inf,1434,83.285
5,2,98,0.198,0.981,,52.667,0.711,,205775,1693,98.317
5,5,95,0.185,0.981,,53.778,0.705,,205901,1693,98.317
5,10,90,0.181,0.981,,54.000,0.704,,206157,1693,98.317
5,20,80,0.202,0.981,,52.333,0.712,,206286,1692,98.259
5,40,60,0.202,0.980,,54.222,0.686,,216205,1664,96.634
5,50,50,0.150,0.980,,54.667,0.669,,218952,1639,95.183
5,60,40,0.188,0.980,,52.556,0.644,,271024,1577,91.584
5,80,20,0.193,0.979,,39.556,0.568,,inf,1329,77.191
5,90,10,0.176,0.976,,27.556,0.410,,inf,951,55.252
5,95,5,0.194,0.976,,20.778,0.284,,inf,674,39.176
10,1,99,,0.981,,0.000,0.835,,inf,1432,83.169
10,2,98,0.195,0.981,,52.667,0.711,,205901,1693,98.317
10,5,95,0.205,0.981,,52.333,0.713,,205901,1693,98.317
10,10,90,0.194,0.981,,54.111,0.704,,206150,1693,98.317
10,20,80,0.200,0.981,,53.556,0.706,,206150,1692,98.259
10,40,60,0.193,0.980,,53.333,0.697,,213087,1674,97.214
10,50,50,0.183,0.980,,57.333,0.660,,217263,1648,95.705
10,60,40,0.188,0.980,,54.333,0.644,,228370,1593,92.513
10,80,20,0.187,0.978,,42.444,0.532,,inf,1293,75.102
10,90,10,0.172,0.976,,29.000,0.404,,inf,953,55.369
10,95,5,0.231,0.977,,20.000,0.286,,inf,670,38.944
20,1,99,,0.981,,0.000,0.837,,inf,1434,83.285
20,2,98,0.198,0.981,,52.333,0.713,,205901,1693,98.317
20,5,95,0.208,0.981,,52.111,0.714,,205775,1693,98.317
20,10,90,0.177,0.981,,53.889,0.705,,206150,1693,98.317
20,20,80,0.174,0.981,,54.889,0.700,,206150,1693,98.317
20,40,60,0.215,0.980,,54.222,0.689,,216091,1669,96.924
20,50,50,0.206,0.980,,54.111,0.677,,218040,1648,95.705
20,60,40,0.165,0.979,,54.778,0.644,,227867,1596,92.687
20,80,20,0.172,0.979,,42.444,0.520,,inf,1273,73.941
20,90,10,0.192,0.977,,27.222,0.417,,inf,960,55.775
20,95,5,0.229,0.975,,17.444,0.284,,inf,643,37.377
40,1,99,,0.974,,0.000,1.165,0.000,inf,1433,83.227
40,2,98,0.197,0.973,,52.333,0.993,0.000,205775,1693,98.317
