T_Prob_Diff,T_Prob_Same,Gini_Load,Time_90,Chunk Copies,% Devices Reached
1,1,,inf,0,0.058
1,2,0.986,inf,144,8.416
1,5,0.985,inf,169,9.867
1,10,0.986,inf,190,11.085
1,20,0.987,inf,208,12.130
1,30,0.987,inf,225,13.117
1,40,0.989,inf,226,13.175
1,45,0.988,inf,228,13.291
1,50,0.988,inf,229,13.349
1,55,0.989,inf,233,13.581
1,60,0.989,inf,228,13.291
1,70,0.989,inf,231,13.465
1,80,0.990,inf,234,13.639
1,90,0.990,inf,235,13.697
1,95,0.990,inf,234,13.639
1,98,0.990,inf,235,13.697
1,99,0.990,inf,235,13.697
2,1,0.980,inf,255,14.858
2,2,0.973,inf,403,23.447
2,5,0.971,inf,597,34.707
2,10,0.975,inf,819,47.591
2,20,0.977,inf,1148,66.686
2,30,0.978,inf,1327,77.075
2,40,0.978,inf,1472,85.490
2,45,0.978,inf,1491,86.593
2,50,0.978,inf,1533,89.031
2,55,0.979,277486,1571,91.236
2,60,0.979,304075,1561,90.656
2,70,0.979,226437,1609,93.442
2,80,0.979,223731,1628,94.544
2,90,0.979,218611,1649,95.763
2,95,0.980,216359,1668,96.866
2,98,0.979,216146,1674,97.214
2,99,0.980,216921,1661,96.460
5,1,0.978,inf,363,21.126
5,2,0.973,inf,472,27.452
5,5,0.972,inf,663,38.537
5,10,0.974,inf,900,52.293
5,20,0.975,inf,1181,68.601
5,30,0.977,inf,1378,80.035
5,40,0.977,inf,1465,85.084
5,45,0.978,inf,1499,87.057
5,50,0.978,309133,1553,90.192
5,55,0.978,278018,1574,91.410
5,60,0.978,266279,1580,91.759
5,70,0.979,225508,1616,93.848
5,80,0.979,218753,1650,95.821
5,90,0.979,216546,1665,96.692
5,95,0.979,216147,1671,97.040
5,98,0.979,215736,1680,97.562
5,99,0.979,216001,1680,97.562
10,1,0.977,inf,479,27.858
10,2,0.975,inf,541,31.457
10,5,0.975,inf,732,42.542
10,10,0.975,inf,971,56.413
10,20,0.977,inf,1251,72.664
10,30,0.977,inf,1396,81.080
10,40,0.977,inf,1511,87.754
10,45,0.977,304475,1560,90.598
10,50,0.977,277486,1573,91.352
10,55,0.978,231210,1586,92.107
10,60,0.978,226817,1605,93.210
10,70,0.978,220466,1642,95.357
10,80,0.978,216468,1667,96.808
10,90,0.978,216359,1667,96.808
10,95,0.978,214139,1682,97.678
10,98,0.978,215486,1678,97.446
10,99,0.978,214271,1681,97.620
20,1,0.977,inf,579,33.662
20,2,0.977,inf,683,39.698
20,5,0.976,inf,809,47.011
20,10,0.976,inf,1017,59.083
20,20,0.977,inf,1312,76.204
20,30,0.977,inf,1487,86.361
20,40,0.978,inf,1529,88.799
20,45,0.977,298747,1566,90.946
20,50,0.978,230704,1588,92.223
20,55,0.977,223731,1630,94.660
20,60,0.978,221137,1637,95.067
20,70,0.978,218040,1650,95.821
20,80,0.978,214536,1678,97.446
20,90,0.978,212695,1683,97.737
20,95,0.978,212423,1681,97.620
20,98,0.978,211841,1689,98.085
20,99,0.979,212429,1683,97.737
30,1,0.977,inf,649,37.725
30,2,0.977,inf,728,42.310
30,5,0.976,inf,916,53.221
30,10,0.977,inf,1115,64.771
30,20,0.978,inf,1357,78.816
30,30,0.977,inf,1487,86.361
30,40,0.977,277486,1570,91.178
30,45,0.977,226186,1608,93.384
30,50,0.977,224093,1618,93.964
30,55,0.977,221786,1630,94.660
30,60,0.978,218740,1648,95.705
30,70,0.979,214661,1676,97.330
30,80,0.978,216001,1671,97.040
30,90,0.978,212695,1680,97.562
30,95,0.978,212429,1684,97.795
30,98,0.978,211908,1683,97.737
30,99,0.979,211908,1683,97.737
40,1,0.979,inf,712,41.381
40,2,0.976,inf,791,45.966
40,5,0.977,inf,943,54.788
40,10,0.977,inf,1130,65.641
40,20,0.977,inf,1348,78.294
40,30,0.978,inf,1524,88.508
40,40,0.978,228240,1589,92.281
40,45,0.978,226817,1600,92.919
40,50,0.978,221137,1630,94.660
40,55,0.978,218678,1647,95.647
40,60,0.978,216964,1661,96.460
40,70,0.978,216020,1672,97.098
40,80,0.978,210148,1685,97.853
40,90,0.978,211419,1686,97.911
40,95,0.978,210388,1691,98.201
40,98,0.978,209114,1688,98.027
40,99,0.979,208746,1690,98.143
