T_Prob_Diff,T_Prob_Same,Mean_Gini_Load,Above 90% Reach,Time_90_Mean,Time_90_Std,Chunk Copies,% Devices Reached
1,99,0.997,0,,,41,7.374
2,98,0.987,7,217311.714,1328.146,461,48.962
5,95,0.986,10,226969.400,21747.079,472,51.117
10,90,0.986,11,223732.909,19679.521,615,52.934
20,80,0.986,12,217799.333,6631.406,629,55.412
30,70,0.985,13,216480.231,7108.122,645,57.530
40,60,0.986,12,215164.167,7683.466,655,57.068
45,55,0.985,12,214675.750,7699.112,656,58.432
50,50,0.986,12,214451.583,7895.781,662,57.609
55,45,0.985,12,214433.000,7951.264,659,58.263
60,40,0.986,13,213887.769,8081.275,669,58.391
70,30,0.986,12,213210.417,8109.284,674,59.067
80,20,0.985,14,219577.000,25774.850,675,60.188
90,10,0.985,14,218823.643,25990.765,678,60.766
95,5,0.986,14,218671.500,25699.691,684,60.125
98,2,0.985,14,217868.143,23640.333,674,60.932
99,1,0.985,14,217731.429,23715.464,686,60.915
